Year,Quarter,1 Mo-2 Mo_spread,1 Mo-3 Mo_spread,1 Mo-4 Mo_spread,1 Mo-6 Mo_spread,1 Mo-1 Yr_spread,1 Mo-2 Yr_spread,1 Mo-3 Yr_spread,1 Mo-5 Yr_spread,1 Mo-7 Yr_spread,1 Mo-10 Yr_spread,1 Mo-20 Yr_spread,1 Mo-30 Yr_spread,2 Mo-3 Mo_spread,2 Mo-4 Mo_spread,2 Mo-6 Mo_spread,2 Mo-1 Yr_spread,2 Mo-2 Yr_spread,2 Mo-3 Yr_spread,2 Mo-5 Yr_spread,2 Mo-7 Yr_spread,2 Mo-10 Yr_spread,2 Mo-20 Yr_spread,2 Mo-30 Yr_spread,3 Mo-4 Mo_spread,3 Mo-6 Mo_spread,3 Mo-1 Yr_spread,3 Mo-2 Yr_spread,3 Mo-3 Yr_spread,3 Mo-5 Yr_spread,3 Mo-7 Yr_spread,3 Mo-10 Yr_spread,3 Mo-20 Yr_spread,3 Mo-30 Yr_spread,4 Mo-6 Mo_spread,4 Mo-1 Yr_spread,4 Mo-2 Yr_spread,4 Mo-3 Yr_spread,4 Mo-5 Yr_spread,4 Mo-7 Yr_spread,4 Mo-10 Yr_spread,4 Mo-20 Yr_spread,4 Mo-30 Yr_spread,6 Mo-1 Yr_spread,6 Mo-2 Yr_spread,6 Mo-3 Yr_spread,6 Mo-5 Yr_spread,6 Mo-7 Yr_spread,6 Mo-10 Yr_spread,6 Mo-20 Yr_spread,6 Mo-30 Yr_spread,1 Yr-2 Yr_spread,1 Yr-3 Yr_spread,1 Yr-5 Yr_spread,1 Yr-7 Yr_spread,1 Yr-10 Yr_spread,1 Yr-20 Yr_spread,1 Yr-30 Yr_spread,2 Yr-3 Yr_spread,2 Yr-5 Yr_spread,2 Yr-7 Yr_spread,2 Yr-10 Yr_spread,2 Yr-20 Yr_spread,2 Yr-30 Yr_spread,3 Yr-5 Yr_spread,3 Yr-7 Yr_spread,3 Yr-10 Yr_spread,3 Yr-20 Yr_spread,3 Yr-30 Yr_spread,5 Yr-7 Yr_spread,5 Yr-10 Yr_spread,5 Yr-20 Yr_spread,5 Yr-30 Yr_spread,7 Yr-10 Yr_spread,7 Yr-20 Yr_spread,7 Yr-30 Yr_spread,10 Yr-20 Yr_spread,10 Yr-30 Yr_spread,20 Yr-30 Yr_spread
2006,Q3,,-0.08158730158730165,,-0.21904761904762005,-0.1376190476190482,0.024444444444444713,0.08507936507936442,0.11126984126984052,0.10349206349206241,0.05999999999999872,-0.13190476190476197,-0.040793650793650826,,,,,,,,,,,,,-0.1374603174603184,-0.05603174603174654,0.10603174603174637,0.16666666666666607,0.19285714285714217,0.18507936507936407,0.14158730158730037,-0.050317460317460316,0.040793650793650826,,,,,,,,,,0.08142857142857185,0.24349206349206476,0.30412698412698447,0.33031746031746057,0.32253968253968246,0.27904761904761877,0.08714285714285808,0.17825396825396922,0.1620634920634929,0.22269841269841262,0.24888888888888872,0.2411111111111106,0.19761904761904692,0.005714285714286227,0.09682539682539737,0.06063492063491971,0.0868253968253958,0.0790476190476177,0.03555555555555401,-0.15634920634920668,-0.06523809523809554,0.026190476190476097,0.018412698412697992,-0.0250793650793657,-0.2169841269841264,-0.12587301587301525,-0.007777777777778105,-0.0512698412698418,-0.2431746031746025,-0.15206349206349135,-0.04349206349206369,-0.23539682539682438,-0.14428571428571324,-0.1919047619047607,-0.10079365079364955,0.09111111111111114
2006,Q4,,-0.01161290322580566,,-0.09322580645161249,0.03193548387096801,0.28258064516129,0.3714516129032255,0.41838709677419406,0.4166129032258068,0.3895161290322582,0.18725806451612925,0.278225806451613,,,,,,,,,,,,,-0.08161290322580683,0.043548387096773666,0.29419354838709566,0.38306451612903114,0.4299999999999997,0.42822580645161246,0.40112903225806384,0.1988709677419349,0.28983870967741865,,,,,,,,,,0.1251612903225805,0.3758064516129025,0.464677419354838,0.5116129032258065,0.5098387096774193,0.4827419354838707,0.28048387096774174,0.3714516129032255,0.250645161290322,0.3395161290322575,0.38645161290322605,0.3846774193548388,0.3575806451612902,0.15532258064516125,0.24629032258064498,0.08887096774193548,0.13580645161290406,0.1340322580645168,0.10693548387096818,-0.09532258064516075,-0.004354838709677011,0.046935483870968575,0.045161290322581316,0.018064516129032704,-0.18419354838709623,-0.09322580645161249,-0.0017741935483872595,-0.02887096774193587,-0.2311290322580648,-0.14016129032258107,-0.02709677419354861,-0.22935483870967754,-0.1383870967741938,-0.20225806451612893,-0.1112903225806452,0.09096774193548374
2007,Q1,,-0.0062903225806456575,,-0.025322580645161352,0.10016129032258014,0.3472580645161294,0.42806451612903196,0.464354838709677,0.4580645161290322,0.42870967741935395,0.21693548387096673,0.3112903225806454,,,,,,,,,,,,,-0.019032258064515695,0.1064516129032258,0.35354838709677505,0.4343548387096776,0.47064516129032263,0.46435483870967786,0.4349999999999996,0.22322580645161239,0.31758064516129103,,,,,,,,,,0.1254838709677415,0.37258064516129075,0.4533870967741933,0.48967741935483833,0.48338709677419356,0.4540322580645153,0.24225806451612808,0.3366129032258067,0.24709677419354925,0.3279032258064518,0.36419354838709683,0.35790322580645206,0.3285483870967738,0.11677419354838658,0.21112903225806523,0.08080645161290256,0.11709677419354758,0.11080645161290281,0.08145161290322456,-0.13032258064516267,-0.03596774193548402,0.03629032258064502,0.03000000000000025,0.0006451612903219939,-0.21112903225806523,-0.11677419354838658,-0.006290322580644769,-0.035645161290323024,-0.24741935483871025,-0.1530645161290316,-0.029354838709678255,-0.24112903225806548,-0.14677419354838683,-0.21177419354838722,-0.11741935483870858,0.09435483870967865
2007,Q2,,-0.09531250000000036,,-0.22328125000000032,-0.15750000000000064,-0.027031250000000284,0.01312499999999961,0.015937499999999716,-0.0070312500000007105,-0.06937499999999996,-0.29234375000000057,-0.21218750000000064,,,,,,,,,,,,,-0.12796874999999996,-0.062187500000000284,0.06828125000000007,0.10843749999999996,0.11125000000000007,0.08828124999999964,0.02593750000000039,-0.1970312500000002,-0.11687500000000028,,,,,,,,,,0.06578124999999968,0.19625000000000004,0.23640624999999993,0.23921875000000004,0.2162499999999996,0.15390625000000036,-0.06906250000000025,0.01109374999999968,0.13046875000000036,0.17062500000000025,0.17343750000000036,0.15046874999999993,0.08812500000000068,-0.13484374999999993,-0.0546875,0.04015624999999989,0.04296875,0.019999999999999574,-0.04234374999999968,-0.2653125000000003,-0.18515625000000036,0.0028125000000001066,-0.02015625000000032,-0.08249999999999957,-0.3054687500000002,-0.22531250000000025,-0.022968750000000426,-0.08531249999999968,-0.3082812500000003,-0.22812500000000036,-0.062343749999999254,-0.28531249999999986,-0.20515624999999993,-0.2229687500000006,-0.14281250000000068,0.08015624999999993
2007,Q3,,-0.1553968253968252,,-0.3288888888888888,-0.25619047619047564,-0.11190476190476151,-0.1376190476190473,-0.2338095238095237,-0.32396825396825424,-0.4595238095238088,-0.7336507936507939,-0.6699999999999999,,,,,,,,,,,,,-0.1734920634920636,-0.10079365079365044,0.04349206349206369,0.017777777777777892,-0.07841269841269849,-0.16857142857142904,-0.3041269841269836,-0.5782539682539687,-0.5146031746031747,,,,,,,,,,0.07269841269841315,0.21698412698412728,0.19126984126984148,0.0950793650793651,0.004920634920634548,-0.13063492063492,-0.4047619047619051,-0.34111111111111114,0.14428571428571413,0.11857142857142833,0.022380952380951946,-0.0677777777777786,-0.20333333333333314,-0.47746031746031825,-0.4138095238095243,-0.0257142857142858,-0.12190476190476218,-0.21206349206349273,-0.34761904761904727,-0.6217460317460324,-0.5580952380952384,-0.09619047619047638,-0.18634920634920693,-0.32190476190476147,-0.5960317460317466,-0.5323809523809526,-0.09015873015873055,-0.2257142857142851,-0.4998412698412702,-0.43619047619047624,-0.13555555555555454,-0.40968253968253965,-0.3460317460317457,-0.2741269841269851,-0.21047619047619115,0.06365079365079396
2007,Q4,,-0.02951612903225742,,-0.24709677419354792,-0.17290322580645157,-0.027580645161290107,-0.0512903225806447,-0.33548387096774146,-0.5295161290322574,-0.8045161290322587,-1.1969354838709676,-1.1501612903225804,,,,,,,,,,,,,-0.2175806451612905,-0.14338709677419414,0.0019354838709673139,-0.021774193548387277,-0.30596774193548404,-0.5,-0.7750000000000012,-1.1674193548387102,-1.120645161290323,,,,,,,,,,0.07419354838709635,0.2195161290322578,0.19580645161290322,-0.08838709677419354,-0.2824193548387095,-0.5574193548387107,-0.9498387096774197,-0.9030645161290325,0.14532258064516146,0.12161290322580687,-0.1625806451612899,-0.35661290322580586,-0.6316129032258071,-1.024032258064516,-0.9772580645161288,-0.02370967741935459,-0.30790322580645135,-0.5019354838709673,-0.7769354838709686,-1.1693548387096775,-1.1225806451612903,-0.28419354838709676,-0.4782258064516127,-0.753225806451614,-1.145645161290323,-1.0988709677419357,-0.19403225806451596,-0.4690322580645172,-0.8614516129032261,-0.814677419354839,-0.27500000000000124,-0.6674193548387102,-0.620645161290323,-0.39241935483870893,-0.34564516129032175,0.04677419354838719
2008,Q1,,0.026393442622950847,,-0.027540983606557656,0.017868852459016704,0.10147540983606573,-0.0401639344262299,-0.6206557377049182,-1.0213114754098362,-1.5344262295081972,-2.2681967213114755,-2.281311475409836,,,,,,,,,,,,,-0.0539344262295085,-0.008524590163934143,0.07508196721311489,-0.06655737704918074,-0.6470491803278691,-1.047704918032787,-1.560819672131148,-2.2945901639344264,-2.307704918032787,,,,,,,,,,0.04540983606557436,0.1290163934426234,-0.01262295081967224,-0.5931147540983606,-0.9937704918032786,-1.5068852459016395,-2.240655737704918,-2.2537704918032784,0.08360655737704903,-0.0580327868852466,-0.6385245901639349,-1.039180327868853,-1.5522950819672139,-2.2860655737704922,-2.2991803278688527,-0.14163934426229563,-0.722131147540984,-1.122786885245902,-1.635901639344263,-2.3696721311475413,-2.3827868852459018,-0.5804918032786883,-0.9811475409836063,-1.4942622950819673,-2.2280327868852456,-2.241147540983606,-0.400655737704918,-0.913770491803279,-1.6475409836065573,-1.6606557377049178,-0.5131147540983609,-1.2468852459016393,-1.2599999999999998,-0.7337704918032784,-0.7468852459016389,-0.013114754098360493
2008,Q2,,-0.1390625000000001,,-0.36140625000000015,-0.5548437500000001,-0.9053125000000002,-1.1479687500000002,-1.64390625,-1.9471875000000003,-2.3704687499999997,-3.0759375,-3.0629687500000005,,,,,,,,,,,,,-0.22234375000000006,-0.41578125,-0.7662500000000001,-1.0089062500000001,-1.5048437499999998,-1.8081250000000002,-2.23140625,-2.9368749999999997,-2.92390625,,,,,,,,,,-0.19343749999999993,-0.54390625,-0.7865625,-1.2824999999999998,-1.5857812500000001,-2.0090624999999998,-2.71453125,-2.7015625,-0.3504687500000001,-0.5931250000000001,-1.0890624999999998,-1.3923437500000002,-1.8156249999999998,-2.52109375,-2.508125,-0.24265625000000002,-0.7385937499999997,-1.041875,-1.4651562499999997,-2.170625,-2.15765625,-0.4959374999999997,-0.7992187500000001,-1.2224999999999997,-1.9279687499999998,-1.915,-0.3032812500000004,-0.7265625,-1.43203125,-1.4190625000000003,-0.4232812499999996,-1.1287499999999997,-1.11578125,-0.7054687500000001,-0.6925000000000003,0.012968749999999751
2008,Q3,,-0.12765625000000003,,-0.47046875,-0.7337500000000001,-0.96734375,-1.2403125,-1.72015625,-2.044375,-2.46953125,-3.1029687500000005,-3.0565625,,,,,,,,,,,,,-0.34281249999999996,-0.6060937500000001,-0.8396874999999999,-1.11265625,-1.5925,-1.91671875,-2.341875,-2.9753125000000002,-2.92890625,,,,,,,,,,-0.26328125000000013,-0.49687499999999996,-0.7698437499999999,-1.2496875,-1.57390625,-1.9990625000000002,-2.6325000000000003,-2.58609375,-0.23359374999999982,-0.5065624999999998,-0.9864062499999999,-1.310625,-1.73578125,-2.3692187500000004,-2.3228125,-0.27296875,-0.7528125000000001,-1.07703125,-1.5021875000000002,-2.1356250000000006,-2.08921875,-0.4798437500000001,-0.8040625000000001,-1.2292187500000002,-1.8626562500000006,-1.8162500000000001,-0.32421875,-0.7493750000000001,-1.3828125000000004,-1.33640625,-0.4251562500000001,-1.0585937500000004,-1.0121875,-0.6334375000000003,-0.5870312499999999,0.046406250000000426
2008,Q4,,-0.18633679606342263,,-0.5996774193548386,-0.8479032258064516,-1.0741935483870968,-1.3396774193548386,-2.031451612903226,-2.4795161290322585,-3.093387096774194,-3.8050000000000006,-3.520483870967742,,,,,,,,,,,,,-0.4133406232914161,-0.6615664297430289,-0.8878567523236742,-1.153340623291416,-1.8451148168398033,-2.293179332968836,-2.907050300710771,-3.6186632039365776,-3.334147074904319,,,,,,,,,,-0.24822580645161285,-0.47451612903225815,-0.74,-1.4317741935483872,-1.8798387096774196,-2.4937096774193552,-3.205322580645162,-2.9208064516129033,-0.2262903225806453,-0.49177419354838714,-1.1835483870967742,-1.6316129032258067,-2.245483870967742,-2.9570967741935488,-2.67258064516129,-0.26548387096774184,-0.957258064516129,-1.4053225806451615,-2.019193548387097,-2.730806451612904,-2.446290322580645,-0.6917741935483872,-1.1398387096774196,-1.753709677419355,-2.4653225806451617,-2.180806451612903,-0.4480645161290324,-1.0619354838709678,-1.7735483870967745,-1.489032258064516,-0.6138709677419354,-1.3254838709677421,-1.0409677419354835,-0.7116129032258067,-0.4270967741935481,0.28451612903225865
