Year,Quarter,1 Mo,2 Mo,3 Mo,4 Mo,6 Mo,1 Yr,2 Yr,3 Yr,5 Yr,7 Yr,10 Yr,20 Yr,30 Yr
2004,Q1,0.9096774193548387,,0.9337096774193548,,1.003548387096774,1.2214516129032258,1.6866129032258064,2.1630645161290323,2.980967741935484,3.501451612903226,4.01,4.877903225806452,
2004,Q2,0.954516129032258,,1.0961290322580644,,1.3596774193548387,1.7754838709677419,2.4546774193548386,2.9719354838709675,3.7209677419354836,4.183870967741935,4.597096774193548,5.355645161290322,
2004,Q3,1.37,,1.51390625,,1.7884375,2.075,2.5565625,2.91953125,3.505625,3.9221875,4.30140625,5.06828125,
2004,Q4,1.8417741935483871,,2.0474193548387096,,2.29758064516129,2.472741935483871,2.82241935483871,3.0588709677419357,3.493709677419355,3.855,4.175806451612903,4.8748387096774195,
2005,Q1,2.3609836065573773,,2.5891803278688523,,2.8768852459016396,3.0724590163934424,3.4549180327868854,3.6239344262295083,3.8908196721311477,4.098852459016394,4.303606557377049,4.764098360655738,
2005,Q2,2.7096875,,2.92671875,,3.1796875,3.33734375,3.6459375,3.73234375,3.87296875,3.9846875,4.15859375,4.54875,
2005,Q3,3.22859375,,3.43828125,,3.70703125,3.79109375,3.95796875,3.98921875,4.039375,4.1084375,4.21515625,4.50765625,
2005,Q4,3.702131147540984,,3.913606557377049,,4.250491803278688,4.288524590163934,4.364590163934427,4.372295081967213,4.3911475409836065,4.425737704918033,4.488196721311475,4.767540983606557,
2006,Q1,4.3587096774193546,,4.506612903225807,,4.657258064516129,4.640322580645161,4.6046774193548385,4.582580645161291,4.55241935483871,4.555483870967742,4.577096774193548,4.7740322580645165,4.663055555555555
2006,Q2,4.6749206349206345,,4.830158730158731,,5.033650793650794,5.021428571428571,4.997936507936508,4.987301587301587,4.993174603174603,5.0180952380952375,5.072698412698412,5.290634920634921,5.143015873015873
2006,Q3,4.953492063492063,,5.035079365079365,,5.172539682539683,5.091111111111111,4.929047619047618,4.8684126984126985,4.842222222222222,4.8500000000000005,4.893492063492064,5.085396825396825,4.994285714285714
2006,Q4,5.020161290322581,,5.031774193548387,,5.1133870967741935,4.988225806451613,4.737580645161291,4.6487096774193555,4.601774193548387,4.603548387096774,4.630645161290323,4.832903225806452,4.741935483870968
2007,Q1,5.107741935483871,,5.114032258064516,,5.133064516129032,5.0075806451612905,4.760483870967741,4.679677419354839,4.643387096774194,4.6496774193548385,4.679032258064517,4.890806451612904,4.796451612903225
2007,Q2,4.77671875,,4.87203125,,5.0,4.93421875,4.80375,4.76359375,4.76078125,4.78375,4.84609375,5.0690625,4.98890625
2007,Q3,4.278888888888889,,4.434285714285714,,4.607777777777778,4.535079365079365,4.3907936507936505,4.416507936507936,4.512698412698413,4.602857142857143,4.738412698412698,5.012539682539683,4.948888888888889
2007,Q4,3.4620967741935487,,3.491612903225806,,3.7091935483870966,3.6350000000000002,3.4896774193548388,3.5133870967741934,3.79758064516129,3.991612903225806,4.266612903225807,4.659032258064516,4.612258064516129
2008,Q1,2.1308196721311474,,2.1044262295081966,,2.158360655737705,2.1129508196721307,2.0293442622950817,2.1709836065573773,2.7514754098360656,3.1521311475409837,3.6652459016393446,4.399016393442623,4.4121311475409835
2008,Q2,1.51109375,,1.65015625,,1.8725,2.0659375,2.41640625,2.6590625,3.155,3.45828125,3.8815625,4.58703125,4.5740625
2008,Q3,1.39265625,,1.5203125,,1.863125,2.12640625,2.36,2.63296875,3.1128125,3.43703125,3.8621875,4.495625,4.44921875
2008,Q4,0.14129032258064517,,0.3276271186440678,,0.7409677419354839,0.9891935483870967,1.215483870967742,1.4809677419354839,2.172741935483871,2.6208064516129035,3.234677419354839,3.9462903225806456,3.661774193548387
2009,Q1,0.12262295081967214,,0.2122950819672131,,0.39639344262295084,0.5719672131147541,0.9042622950819672,1.2714754098360657,1.761311475409836,2.2378688524590165,2.7362295081967214,3.6911475409836063,3.45672131147541
2009,Q2,0.10984126984126984,,0.1712698412698413,,0.32301587301587303,0.5211111111111111,1.0176190476190476,1.4953968253968253,2.2417460317460316,2.889047619047619,3.320793650793651,4.195238095238095,4.172380952380952
2009,Q3,0.11140625,,0.16,,0.25234375000000003,0.44796874999999997,1.03,1.55796875,2.4675,3.123125,3.5178125,4.2834375,4.3225
2009,Q4,0.04129032258064516,,0.06048387096774194,,0.16129032258064516,0.3546774193548387,0.8779032258064516,1.39,2.304193548387097,2.9899999999999998,3.4640322580645164,4.268870967741936,4.335645161290323
2010,Q1,0.06885245901639345,,0.1098360655737705,,0.18770491803278688,0.3645901639344262,0.917704918032787,1.4688524590163934,2.4273770491803277,3.164262295081967,3.7178688524590164,4.4904918032786885,4.624426229508196
